Topic to send: test-topic
Topic to acks: -1
Records: 500000
Size: 500
Batch Size: 500

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d12590634290dbc4
app-info:start-time-ms:{client-id=producer-1}                                      : 1618695539773
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126.000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 576.000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 576.000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0.000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0.000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432.000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0.000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0.000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432.000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0.000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0.000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1.000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0.000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 5.000
producer-metrics:connection-count:{client-id=producer-1}                           : 3.000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0.000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 8.000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0.000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0.000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0.000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0.000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 43910.151
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 31003513.000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0.071
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 33555.703
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0.851
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 400960.616
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 650113271842.000
producer-metrics:iotime-total:{client-id=producer-1}                               : 46896311146.000
producer-metrics:metadata-age:{client-id=producer-1}                               : 206.604
producer-metrics:network-io-rate:{client-id=producer-1}                            : 1416.408
producer-metrics:network-io-total:{client-id=producer-1}                           : 1000028.000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 457544.304
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 322890034.000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0.000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0.000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0.000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0.000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0.036
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 1.000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0.000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 1.000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 708.217
producer-metrics:record-send-total:{client-id=producer-1}                          : 500001.000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 592.000
producer-metrics:record-size-max:{client-id=producer-1}                            : 592.000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1.000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : 1.322
producer-metrics:request-latency-max:{client-id=producer-1}                        : 60.000
producer-metrics:request-rate:{client-id=producer-1}                               : 708.217
producer-metrics:request-size-avg:{client-id=producer-1}                           : 646.000
producer-metrics:request-size-max:{client-id=producer-1}                           : 646.000
producer-metrics:request-total:{client-id=producer-1}                              : 500016.000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0.000
producer-metrics:response-rate:{client-id=producer-1}                              : 708.214
producer-metrics:response-total:{client-id=producer-1}                             : 500012.000
producer-metrics:select-rate:{client-id=producer-1}                                : 2122.858
producer-metrics:select-total:{client-id=producer-1}                               : 1497892.000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0.000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0.000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0.000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0.000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0.000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0.000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--3}   : 0.000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 14638.524
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-2}    : 15054.192
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-3}    : 14463.422
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--3}  : 585.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}   : 10333408.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-2}   : 10326588.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-3}   : 10342932.000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node--3}   : 0.000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-1}    : 152518.974
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-2}    : 154846.056
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-3}    : 150495.396
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node--3}  : 67.000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-1}   : 107618601.000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-2}   : 107547776.000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-3}   : 107723590.000
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node--3}  : NaN
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-1}   : 1.494
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-2}   : 1.198
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-3}   : 1.290
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node--3}  : NaN
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-1}   : 22.000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-2}   : 19.000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-3}   : 60.000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node--3}         : 0.000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-1}          : 236.085
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-2}          : 239.690
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-3}          : 232.950
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node--3}     : NaN
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-1}      : 646.000
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-2}      : 646.000
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-3}      : 646.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node--3}     : NaN
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-1}      : 646.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-2}      : 646.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-3}      : 646.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node--3}        : 2.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-1}         : 166654.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-2}         : 166545.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-3}         : 166815.000
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node--3}        : 0.000
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-1}         : 236.111
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-2}         : 242.815
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-3}         : 233.286
producer-node-metrics:response-total:{client-id=producer-1, node-id=node--3}       : 2.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-1}        : 166653.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-2}        : 166543.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-3}        : 166814.000
producer-topic-metrics:byte-rate:{client-id=producer-1, topic=test-topic}          : 407932.789
producer-topic-metrics:byte-total:{client-id=producer-1, topic=test-topic}         : 287889471.000
producer-topic-metrics:compression-rate:{client-id=producer-1, topic=test-topic}   : 1.000
producer-topic-metrics:record-error-rate:{client-id=producer-1, topic=test-topic}  : 0.000
producer-topic-metrics:record-error-total:{client-id=producer-1, topic=test-topic} : 0.000
producer-topic-metrics:record-retry-rate:{client-id=producer-1, topic=test-topic}  : 0.000
producer-topic-metrics:record-retry-total:{client-id=producer-1, topic=test-topic} : 1.000
producer-topic-metrics:record-send-rate:{client-id=producer-1, topic=test-topic}   : 708.217
