Topic to send: test-topic
Topic to acks: 1
Records: 500000
Size: 500
Batch Size: 500

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d12590634290dbc4
app-info:start-time-ms:{client-id=producer-1}                                      : 1618314628828
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126.000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 576.000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 576.000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0.000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0.000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432.000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0.000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0.000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432.000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0.000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0.000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1.000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0.000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 3.000
producer-metrics:connection-count:{client-id=producer-1}                           : 4.000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0.000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 7.000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0.000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0.000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0.000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0.000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 87969.395
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 31003222.000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0.138
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 32405.477
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0.710
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 167075.124
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 339570032699.000
producer-metrics:iotime-total:{client-id=producer-1}                               : 41946605149.000
producer-metrics:metadata-age:{client-id=producer-1}                               : 208.818
producer-metrics:network-io-rate:{client-id=producer-1}                            : 2837.617
producer-metrics:network-io-total:{client-id=producer-1}                           : 1000025.000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 916692.129
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 322891173.000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0.000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0.000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0.000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0.000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0.033
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 8.000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0.000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 3.000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 1418.873
producer-metrics:record-send-total:{client-id=producer-1}                          : 500003.000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 592.000
producer-metrics:record-size-max:{client-id=producer-1}                            : 592.000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1.000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : 0.623
producer-metrics:request-latency-max:{client-id=producer-1}                        : 30.000
producer-metrics:request-rate:{client-id=producer-1}                               : 1418.834
producer-metrics:request-size-avg:{client-id=producer-1}                           : 646.000
producer-metrics:request-size-max:{client-id=producer-1}                           : 646.000
producer-metrics:request-total:{client-id=producer-1}                              : 500014.000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0.000
producer-metrics:response-rate:{client-id=producer-1}                              : 1418.861
producer-metrics:response-total:{client-id=producer-1}                             : 500011.000
producer-metrics:select-rate:{client-id=producer-1}                                : 4249.528
producer-metrics:select-total:{client-id=producer-1}                               : 1494997.000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0.000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0.000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0.000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0.000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0.000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0.000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--1}   : 0.000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 30027.299
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-2}    : 29197.559
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-3}    : 29523.904
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--1}  : 585.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}   : 10326297.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-2}   : 10343223.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-3}   : 10333117.000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node--1}   : 0.000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-1}    : 308240.602
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-2}    : 302863.641
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-3}    : 307649.690
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node--1}  : 67.000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-1}   : 107547709.000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-2}   : 107724236.000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-3}   : 107619161.000
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node--1}  : NaN
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-1}   : 0.527
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-2}   : 0.506
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-3}   : 0.822
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node--1}  : NaN
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-1}   : 13.000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-2}   : 30.000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-3}   : 12.000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node--1}         : 0.000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-1}          : 477.127
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-2}          : 468.803
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-3}          : 476.177
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node--1}     : NaN
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-1}      : 646.000
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-2}      : 646.000
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-3}      : 646.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node--1}     : NaN
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-1}      : 646.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-2}      : 646.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-3}      : 646.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node--1}        : 2.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-1}         : 166543.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-2}         : 166816.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-3}         : 166653.000
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node--1}        : 0.000
